cruise,cast,niskin,station,data_check,sd_5_total,CV_5_tot,sd_20_total,CV_20_tot,size,mean_npp,depth_category,sd_npp,depth,depth_grp,latitude,longitude,temp_check,temp
AT46,15,2,L4,A,NA,NA,NA,NA,greater20,0.551,NA,NA,30.237,"(28.5,30]",40.69548,-70.88138,Good,6.37815
AT46,15,4,L4,A,NA,NA,NA,NA,total,26.422,D2,NA,7.572,"(6,7.5]",40.6952,-70.88138,Good,6.37245
AT46,15,4,L4,A,NA,NA,NA,NA,less20,13.567,D2,NA,7.572,"(6,7.5]",40.6952,-70.88138,Good,6.37245
AT46,15,4,L4,A,NA,NA,NA,NA,less5,5.237,D2,NA,7.572,"(6,7.5]",40.6952,-70.88138,Good,6.37245
AT46,15,4,L4,A,NA,NA,NA,NA,between520,8.33,NA,NA,7.572,"(6,7.5]",40.6952,-70.88138,Good,6.37245
AT46,15,4,L4,A,NA,NA,NA,NA,greater20,12.855,NA,NA,7.572,"(6,7.5]",40.6952,-70.88138,Good,6.37245
AT46,17,11,L2,A,NA,NA,NA,NA,total,93.468,D2,NA,15.614,"(13.5,15]",41.02678,-70.88546,Good,4.71168
AT46,17,11,L2,A,NA,NA,NA,NA,less20,19.015,D2,NA,15.614,"(13.5,15]",41.02678,-70.88546,Good,4.71168
AT46,17,11,L2,A,NA,NA,NA,NA,less5,0.221,D2,NA,15.614,"(13.5,15]",41.02678,-70.88546,Good,4.71168
AT46,17,11,L2,A,NA,NA,NA,NA,between520,18.794,NA,NA,15.614,"(13.5,15]",41.02678,-70.88546,Good,4.71168
AT46,17,11,L2,A,NA,NA,NA,NA,greater20,74.453,NA,NA,15.614,"(13.5,15]",41.02678,-70.88546,Good,4.71168
AT46,17,16,L2,A,NA,NA,NA,NA,total,134.831,D3,3.7572,7.356,"(4.5,6]",41.02704,-70.8859,Good,4.6990375
AT46,17,16,L2,A,NA,NA,NA,NA,less20,34.491,D3,NA,7.356,"(4.5,6]",41.02704,-70.8859,Good,4.6990375
AT46,17,16,L2,A,NA,NA,NA,NA,less5,3.943,D3,NA,7.356,"(4.5,6]",41.02704,-70.8859,Good,4.6990375
AT46,17,16,L2,A,NA,NA,NA,NA,between520,30.548,NA,NA,7.356,"(4.5,6]",41.02704,-70.8859,Good,4.6990375
AT46,17,16,L2,A,NA,NA,NA,NA,greater20,100.34,NA,NA,7.356,"(4.5,6]",41.02704,-70.8859,Good,4.6990375
EN649,1,4,L1,A,NA,NA,NA,NA,total,2.866,D1,NA,18.072,"(16.5,18]",41.20436,-70.88485,Good,5.33444
EN649,1,4,L1,A,NA,NA,NA,NA,less20,1.387,D1,NA,18.072,"(16.5,18]",41.20436,-70.88485,Good,5.33444
EN649,1,4,L1,A,NA,NA,NA,NA,less5,0.452,D1,NA,18.072,"(16.5,18]",41.20436,-70.88485,Good,5.33444
