cruise,cast,niskin,mean_nitr,mean_ammon,mean_phos,mean_sil,sd_nitr,sd_phos,sd_ammon,sd_sil,date,latitude,longitude,depth_grp,depth
EN608,1,19,0,0.447402265,0.3348246995,0,0,7.318604682755677e-4,0.023895918480157045,0,2018-01-31T19:45:42Z,41.19644,-70.87768,"(1.5,3]",2.726
EN608,4,1,0.529873483,0.7929329685,0.4181427465,0.7465561780000001,0.005019598304578543,0.004391162102546488,0.12675226130571463,0.0014403680279956746,2018-02-01T05:44:26Z,41.02064,-70.87162,"(42,43.5]",43.662
EN608,4,4,0.560803897,0.572782648,0.4274578075,0.7776202485,0.05736683352397146,0.004391162102546488,0.3632872174821212,0.00360092077709583,2018-02-01T05:47:15Z,41.02006,-70.87133,"(28.5,30]",29.595
EN608,4,6,0.529366427,0.559803819,0.405205162,0.666095144,NA,0.04610720030897118,0.2001716031664791,0.13971571285771103,2018-02-01T05:47:34Z,41.01998,-70.87126,"(28.5,30]",29.461
EN608,4,12,0.538493434,0.6482067845,0.4189190015,0.7710000370000001,0,0.0018296508171354996,0.14787763783644697,0.01728441775016107,2018-02-01T05:52:23Z,41.01866,-70.87066,"(1.5,3]",3.546
EN608,5,1,1.2681469674999999,0.6567777085,0.471445597,1.576628873,0.0021512557091412977,0.0021955806977198636,0.1406049668101974,0.002880736055991192,2018-02-01T09:24:00Z,40.85798,-70.88402,"(43.5,45]",44.244
EN608,5,5,1.260541128,0.812768537,0.4779143895,1.63417379,NA,0.011343834783397205,0.1568818966972035,0.0036009200699891474,2018-02-01T09:26:50Z,40.85748,-70.8841,"(28.5,30]",30.037
EN608,5,9,1.2978097415,1.003777714,0.472998107,1.636465402,0.02689070308177908,0.0014637209365510571,0.07168775402625757,0.006121564826088202,2018-02-01T09:29:30Z,40.8568,-70.88424,"(13.5,15]",15.079
EN608,5,13,1.3295007394999998,1.1935624735,0.47403311400000003,1.626535084,0.07601105509101364,0.005854882331990823,0.07826778921159772,0.001440368027995596,2018-02-01T09:32:45Z,40.85608,-70.88436,"(1.5,3]",3.237
EN608,8,2,2.0502807929999998,1.06401907,0.480760658,1.402721005,0.04266658276049061,0.008050463029710648,0.3362744401927448,0.017644510464266808,2018-02-01T19:20:46Z,40.6958,-70.88511,"(60,61.5]",61.731
