cruise,cast,niskin,station,data_check,size,mean_npp,depth_category,sd_npp,depth,depth_grp,temp_check,temp_dif
AT46,17,11,L2,A,less5,0.221,D2,NA,15.614,"(13.5,15]",Good,0.998076944
AT46,17,11,L2,A,between520,18.794,NA,NA,15.614,"(13.5,15]",Good,0.998076944
AT46,17,11,L2,A,greater20,74.453,NA,NA,15.614,"(13.5,15]",Good,0.998076944
AT46,17,16,L2,A,total,134.831,D3,3.7572,7.356,"(4.5,6]",Good,1.010719444
AT46,17,16,L2,A,less20,34.491,D3,NA,7.356,"(4.5,6]",Good,1.010719444
AT46,17,16,L2,A,less5,3.943,D3,NA,7.356,"(4.5,6]",Good,1.010719444
AT46,17,16,L2,A,between520,30.548,NA,NA,7.356,"(4.5,6]",Good,1.010719444
AT46,17,16,L2,A,greater20,100.34,NA,NA,7.356,"(4.5,6]",Good,1.010719444
EN649,1,4,L1,A,total,2.866,D1,NA,18.072,"(16.5,18]",Good,0.721033684
EN649,1,4,L1,A,less20,1.387,D1,NA,18.072,"(16.5,18]",Good,0.721033684
EN649,1,4,L1,A,less5,0.452,D1,NA,18.072,"(16.5,18]",Good,0.721033684
EN649,1,4,L1,A,between520,0.935,NA,NA,18.072,"(16.5,18]",Good,0.721033684
EN649,1,4,L1,A,greater20,1.479,NA,NA,18.072,"(16.5,18]",Good,0.721033684
EN649,1,9,L1,A,total,12.329,D2,NA,10.265,"(9,10.5]",Good,0.721273684
EN649,1,9,L1,A,less20,8.98,D2,NA,10.265,"(9,10.5]",Good,0.721273684
EN649,1,9,L1,A,less5,2.624,D2,NA,10.265,"(9,10.5]",Good,0.721273684
EN649,1,9,L1,A,between520,6.356,NA,NA,10.265,"(9,10.5]",Good,0.721273684
EN649,1,9,L1,A,greater20,3.349,NA,NA,10.265,"(9,10.5]",Good,0.721273684
EN649,1,15,L1,A,total,29.794,D3,NA,3.356,"(1.5,3]",Good,0.722019838
EN649,1,15,L1,A,less20,20.815,D3,NA,3.356,"(1.5,3]",Good,0.722019838
EN649,1,15,L1,A,less5,6.255,D3,NA,3.356,"(1.5,3]",Good,0.722019838
EN649,1,15,L1,A,between520,14.56,NA,NA,3.356,"(1.5,3]",Good,0.722019838
EN649,1,15,L1,A,greater20,8.979,NA,NA,3.356,"(1.5,3]",Good,0.722019838
EN649,5,6,L2,A,total,0.718,D1,NA,33.722,"(31.5,33]",Good,0.117062762
EN649,5,6,L2,A,less20,0.466,D1,NA,33.722,"(31.5,33]",Good,0.117062762
EN649,5,6,L2,A,less5,0.149,D1,NA,33.722,"(31.5,33]",Good,0.117062762
EN649,5,6,L2,A,between520,0.317,NA,NA,33.722,"(31.5,33]",Good,0.117062762
EN649,5,6,L2,A,greater20,0.252,NA,NA,33.722,"(31.5,33]",Good,0.117062762
EN649,5,10,L2,A,total,4.809,D2,NA,15.397,"(13.5,15]",Good,0.172837762
EN649,5,10,L2,A,less20,2.972,D2,NA,15.397,"(13.5,15]",Good,0.172837762
EN649,5,10,L2,A,less5,1.565,D2,NA,15.397,"(13.5,15]",Good,0.172837762
EN649,5,10,L2,A,between520,1.407,NA,NA,15.397,"(13.5,15]",Good,0.172837762
EN649,5,10,L2,A,greater20,1.837,NA,NA,15.397,"(13.5,15]",Good,0.172837762
EN649,5,15,L2,A,total,27.976,D3,NA,3.698,"(1.5,3]",Good,0.20321554
EN649,5,15,L2,A,less20,16.47,D3,NA,3.698,"(1.5,3]",Good,0.20321554
EN649,5,15,L2,A,less5,6.623,D3,NA,3.698,"(1.5,3]",Good,0.20321554
EN649,5,15,L2,A,between520,9.847,NA,NA,3.698,"(1.5,3]",Good,0.20321554
EN649,5,15,L2,A,greater20,11.506,NA,NA,3.698,"(1.5,3]",Good,0.20321554
EN649,8,8,L8,A,total,0.008,D1,NA,69.648,"(70.5,72]",Good,0.426448592
EN649,8,8,L8,A,less20,0.008,D1,NA,69.648,"(70.5,72]",Good,0.426448592
EN649,8,8,L8,A,less5,0,D1,NA,69.648,"(70.5,72]",Good,0.426448592
EN649,8,8,L8,A,between520,0.008,NA,NA,69.648,"(70.5,72]",Good,0.426448592
EN649,8,8,L8,A,greater20,0,NA,NA,69.648,"(70.5,72]",Good,0.426448592
EN649,8,14,L8,A,total,4.095,D2,NA,29.305,"(27,28.5]",Good,2.112282254
EN649,8,14,L8,A,less20,2.931,D2,NA,29.305,"(27,28.5]",Good,2.112282254
EN649,8,14,L8,A,less5,2.204,D2,NA,29.305,"(27,28.5]",Good,2.112282254
EN649,8,14,L8,A,between520,0.727,NA,NA,29.305,"(27,28.5]",Good,2.112282254
EN649,8,14,L8,A,greater20,1.164,NA,NA,29.305,"(27,28.5]",Good,2.112282254
EN649,12,8,L10,A,total,0,D1,NA,111.333,"(110,111]",Good,-1.307053592
EN649,12,8,L10,A,less20,0,D1,NA,111.333,"(110,111]",Good,-1.307053592
EN649,12,8,L10,A,less5,0,D1,NA,111.333,"(110,111]",Good,-1.307053592
EN649,12,8,L10,A,between520,0,NA,NA,111.333,"(110,111]",Good,-1.307053592
EN649,12,8,L10,A,greater20,0,NA,NA,111.333,"(110,111]",Good,-1.307053592
EN649,12,12,L10,A,total,5.403,D2,NA,44.735,"(43.5,45]",Good,-0.450561926
EN649,12,12,L10,A,less20,4.493,D2,NA,44.735,"(43.5,45]",Good,-0.450561926
EN649,12,12,L10,A,less5,2.039,D2,NA,44.735,"(43.5,45]",Good,-0.450561926
EN649,12,12,L10,A,between520,2.454,NA,NA,44.735,"(43.5,45]",Good,-0.450561926
EN649,12,12,L10,A,greater20,0.91,NA,NA,44.735,"(43.5,45]",Good,-0.450561926
EN649,12,17,L10,A,total,5.458,D3,NA,16.856,"(16.5,18]",Good,-0.442636926
EN649,12,17,L10,A,less20,5.404,D3,NA,16.856,"(16.5,18]",Good,-0.442636926
EN649,12,17,L10,A,less5,0.007,D3,NA,16.856,"(16.5,18]",Good,-0.442636926
EN649,12,17,L10,A,between520,5.397,NA,NA,16.856,"(16.5,18]",Good,-0.442636926
EN649,12,17,L10,A,greater20,0.054,NA,NA,16.856,"(16.5,18]",Good,-0.442636926
EN649,12,21,L10,A,total,6.408,D4,NA,4.962,"(3,4.5]",Good,-0.433401212
EN649,12,21,L10,A,less20,5.692,D4,NA,4.962,"(3,4.5]",Good,-0.433401212
EN649,12,21,L10,A,less5,3.676,D4,NA,4.962,"(3,4.5]",Good,-0.433401212
EN649,12,21,L10,A,between520,2.016,NA,NA,4.962,"(3,4.5]",Good,-0.433401212
