cruise,date,latitude,longitude,cast,niskin,depth,depth_grp
EN608,2018-02-01 19:31:59+00:00,40.69266,-70.88421,8,24,4,"(4.5,6]"
EN608,2018-02-01 23:38:22+00:00,40.52355,-70.89454,9,1,71,"(70.5,72]"
EN608,2018-02-01 23:38:30+00:00,40.52352,-70.89457,9,2,71,"(70.5,72]"
EN608,2018-02-01 23:41:18+00:00,40.52313,-70.89522,9,3,45,"(43.5,45]"
EN608,2018-02-01 23:41:26+00:00,40.52312,-70.89524,9,4,45,"(43.5,45]"
EN608,2018-02-01 23:41:33+00:00,40.52309,-70.89526,9,5,44,"(43.5,45]"
EN608,2018-02-01 23:41:40+00:00,40.52307,-70.89528,9,6,44,"(43.5,45]"
EN608,2018-02-01 23:43:59+00:00,40.52268,-70.89572,9,7,29,"(28.5,30]"
EN608,2018-02-01 23:44:05+00:00,40.52268,-70.89574,9,8,29,"(28.5,30]"
EN608,2018-02-01 23:44:13+00:00,40.52266,-70.89578,9,9,29,"(28.5,30]"
EN608,2018-02-01 23:44:22+00:00,40.52264,-70.8958,9,10,29,"(28.5,30]"
EN608,2018-02-01 23:46:38+00:00,40.52236,-70.89628,9,11,14,"(13.5,15]"
EN608,2018-02-01 23:46:46+00:00,40.52234,-70.8963,9,12,14,"(13.5,15]"
EN608,2018-02-01 23:46:52+00:00,40.52232,-70.89633,9,13,14,"(13.5,15]"
EN608,2018-02-01 23:46:59+00:00,40.5223,-70.89632,9,14,14,"(13.5,15]"
EN608,2018-02-01 23:48:59+00:00,40.52209,-70.89656,9,15,5,"(3,4.5]"
EN608,2018-02-01 23:49:07+00:00,40.52208,-70.8966,9,16,4,"(3,4.5]"
EN608,2018-02-01 23:49:13+00:00,40.52205,-70.89662,9,17,4,"(3,4.5]"
EN608,2018-02-01 23:49:19+00:00,40.52204,-70.89662,9,18,4,"(3,4.5]"
EN608,2018-02-02 04:07:39+00:00,40.35988,-70.66178,10,1,24,"(22.5,24]"
EN608,2018-02-02 04:07:46+00:00,40.35986,-70.66176,10,2,24,"(22.5,24]"
EN608,2018-02-02 04:10:35+00:00,40.35944,-70.66133,10,3,5,"(4.5,6]"
