cruise,cast,nearest_station
AT46,11,d9a
AT46,12,L9
AT46,13,L8
AT46,14,L7
AT46,15,L4
AT46,16,L3
AT46,17,L2
AT46,18,u4a
AT46,19,d4a
AT46,20,L4
AT46,21,L2
AT46,22,L3
AT46,23,MVCO
EN687,1,L1
EN687,2,L2
EN687,3,u4a
EN687,4,d4a
EN687,5,L4
EN687,6,L5
EN687,7,L10
EN687,8,u11a
EN687,9,d11a
EN687,10,L11
EN687,11,u9a
EN687,12,d9a
EN687,13,L9
EN687,14,L12
EN687,15,L12
EN687,16,L8
EN687,17,L4
EN687,18,L6
EN687,19,u6a
EN687,20,d6a
EN687,21,L7
EN687,22,L3
EN687,23,L2
EN687,24,u2a
EN687,25,d2a
EN687,26,MVCO
AR61B,1,L1
AR61B,2,L2
AR61B,3,L3
AR61B,4,L4
AR61B,5,L5
AR61B,6,L5
AR61B,7,L10
AR61B,8,L12
AR61B,9,L11
AR61B,10,u11a
AR61B,11,L9
AR61B,12,L8
AR61B,13,L10
AR61B,14,L9.5
AR61B,15,L9
AR61B,16,L7.5
AR61B,17,L7
AR61B,18,L6
AR61B,19,L6
AR61B,20,u6a
AR61B,22,NA
AR61B,23,NA
AR61B,24,NA
AR61B,25,NA
AR61B,26,NA
AR61B,27,NA
AR61B,28,NA
AR61B,29,L13
AR61B,30,u9a
AR61B,31,d9a
AR61B,32,L7
AR61B,33,L6.5
AR61B,34,L6
AR61B,35,L5
AR61B,36,L4
AR61B,37,L3
AR61B,38,L2
AR61B,39,L1
